Slot date,Venue,Paper title,Paper link,Presenter,Role,Lab project it connects to,Status,Slides link,Notes
2026-06-13,CVPR 2026,Fourier Angle Alignment for Oriented Object Detection in Remote Sensing,https://openaccess.thecvf.com/content/CVPR2026/html/Gu_Fourier_Angle_Alignment_for_Oriented_Object_Detection_in_Remote_Sensing_CVPR_2026_paper.html,,PhD,SentinelKilnDB,Open,,
2026-06-13,NeurIPS 2025,Eulerian Neural Network Informed by Chemical Transport for Air Quality Forecasting,https://papers.nips.cc/paper_files/paper/2025/hash/305b2288122d46bf0641bdd86c9a7921-Abstract-Conference.html,,PhD,AIRDELHI,Open,,
2026-06-20,CVPR 2026,Seeing Through the Noise: Improving Infrared Small Target Detection and Segmentation,https://openaccess.thecvf.com/content/CVPR2026/html/Yuan_Seeing_Through_the_Noise_Improving_Infrared_Small_Target_Detection_and_CVPR_2026_paper.html,,MTech,ApneaEye,Open,,
2026-06-20,BuildSys 2025,Prompting Large Language Models for Training-Free Non-Intrusive Load Monitoring,https://doi.org/10.1145/3736425.3770095,,RA,NILM-UQ,Open,,
2026-06-27,IMWUT 2025,SpiroSense: Transforming Smartphones into Pulmonary Metrics Monitors with Ultrasonic Technology,https://doi.org/10.1145/3749517,,MTech,SpiroMask,Open,,
2026-06-27,ICLR 2026,Diffusion Bridge Variational Inference for Deep Gaussian Processes,https://openreview.net/forum?id=zyRmy0Ch9a,,PhD,DeepGP-AQ,Open,,
2026-07-04,AAAI 2026,Generalizable Slum Detection from Satellite Imagery with Mixture-of-Experts,https://ojs.aaai.org/index.php/AAAI/article/view/41227,,PhD,Space-to-Policy,Open,,
2026-07-04,ICCV 2025,SkySense V2: A Unified Foundation Model for Multi-modal Remote Sensing,https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_SkySense_V2_A_Unified_Foundation_Model_for_Multi-modal_Remote_Sensing_ICCV_2025_paper.html,,RA,SentinelKilnDB,Open,,
,,,,,,,Open,,
,,,,,,,Open,,
,,,,,,,Open,,
,,,,,,,Open,,
